date,open,high,low,open-1,high-1,low-1,open-2,high-2,low-2,updown
2018-01-04,0.9935678514375126,1.0,128.0754,0.9888571788806588,1.000811208796263,126.1081,0.9926769960410763,1.0004670324149434,124.4025,1
2018-01-05,0.9943972840549233,1.0000747748275551,129.7228,0.9935678514375126,1.0,128.0754,0.9888571788806588,1.000811208796263,126.1081,1
2018-01-08,0.9941380363800078,1.0001485398304961,130.6047,0.9943972840549233,1.0000747748275551,129.7228,0.9935678514375126,1.0,128.0754,0
2018-01-09,1.0007485312967108,1.000822612744633,129.5871,0.9941380363800078,1.0001485398304961,130.6047,0.9943972840549233,1.0000747748275551,129.7228,0
2018-01-10,1.0024193493478422,1.0065249806520138,132.1843,1.0007485312967108,1.000822612744633,129.5871,0.9941380363800078,1.0001485398304961,130.6047,1
2018-01-11,0.9983931093635297,1.0,132.6786,1.0024193493478422,1.0065249806520138,132.1843,1.0007485312967108,1.000822612744633,129.5871,1
2018-01-12,0.9962830814773811,1.0,132.9596,0.9983931093635297,1.0,132.6786,1.0024193493478422,1.0065249806520138,132.1843,0
2018-01-16,1.008915095680217,1.0110892721183373,133.7058,0.9962830814773811,1.0,132.9596,0.9983931093635297,1.0,132.6786,1
2018-01-17,0.9992894373282256,1.0019190325201581,136.3708,1.008915095680217,1.0110892721183373,133.7058,0.9962830814773811,1.0,132.9596,0
2018-01-18,1.0046164587697084,1.0049052665740694,134.3454,0.9992894373282256,1.0019190325201581,136.3708,1.008915095680217,1.0110892721183373,133.7058,0
2018-01-19,1.0002862883381034,1.003289364462025,135.5277,1.0046164587697084,1.0049052665740694,134.3454,0.9992894373282256,1.0019190325201581,136.3708,1
2018-01-22,0.9969154262737284,1.0,135.0916,1.0002862883381034,1.003289364462025,135.5277,1.0046164587697084,1.0049052665740694,134.3454,0
2018-01-23,1.0025130523881036,1.0025130523881036,134.9753,0.9969154262737284,1.0,135.0916,1.0002862883381034,1.003289364462025,135.5277,0
2018-01-24,1.0034527547074585,1.0044599318652445,134.733,1.0025130523881036,1.0025130523881036,134.9753,0.9969154262737284,1.0,135.0916,0
